respondent	chosen	male	id	pct_price_change_8	available_8	pct_price_change_16	available_16	pct_price_change_15	available_15	pct_price_change_4	available_4	pct_price_change_20	available_20	pct_price_change_1	available_1	pct_price_change_13	available_13	pct_price_change_5	available_5	pct_price_change_11	available_11	pct_price_change_3	available_3	pct_price_change_14	available_14	pct_price_change_17	available_17	pct_price_change_0	available_0	pct_price_change_19	available_19	pct_price_change_12	available_12	pct_price_change_10	available_10	pct_price_change_18	available_18	pct_price_change_9	available_9	pct_price_change_6	available_6	pct_price_change_2	available_2	pct_price_change_7	available_7
77	19	1	276	-0.1	1	0.15	1	0	0	0	0	0	0	0	1	0	0	0	0	0.15	1	0	1	0	0	0	0	0	1	0.05	1	-0.05	1	0	0	-0.05	1	0	1	0	0	0.15	1	0	0
66	20	0	665	0	1	0	0	0	0	0.05	1	0.05	1	0	0	0.1	1	0.05	1	-0.05	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.1	1	-0.1	1	0	0	0.15	1	0.1	1
78	18	0	577	0	0	0	0	0.1	1	0.15	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0.05	1	0	1	0	0	0.05	1	0	0	0.15	1	0.05	1	0	0	-0.05	1	0.05	1
7	19	0	606	0	0	0	0	0.15	1	-0.05	1	0	0	0.05	1	0.1	1	0	0	0	0	-0.1	1	0	0	0	0	0	1	0.15	1	0	0	0.05	1	0	0	0	1	0.1	1	-0.05	1	0	0
51	20	0	850	0	0	0	0	0.1	1	0	0	0.1	1	0	0	-0.1	1	0.05	1	0	0	-0.05	1	0	0	0.15	1	0	1	0	0	0.05	1	0	0	0	0	0.05	1	-0.1	1	-0.1	1	0	0
2	19	0	801	-0.05	1	0.1	1	0	0	0	1	0.15	1	-0.05	1	0	0	0	0	0	0	0	0	0.05	1	0	0	0	1	0	1	0	0	0	1	0	0	0.1	1	0.1	1	0	0	0	0
51	20	0	550	-0.1	1	0	0	0.1	1	0	0	0.1	1	0	0	0	0	0.1	1	-0.05	1	0	1	0	0	-0.05	1	0	1	0	0	0	0	0	0	0	0	0	0	0.1	1	0.1	1	-0.1	1
100	19	0	599	0.1	1	0	0	0	0	0	0	0	0	0	0	-0.1	1	-0.05	1	0	0	0	1	0	0	0	0	0	1	0.1	1	0	0	0	0	-0.1	1	-0.1	1	0.1	1	0	1	0.15	1
57	18	0	856	0	0	0.05	1	-0.05	1	0	0	0	0	0	1	0	0	0	0	0.15	1	-0.05	1	-0.1	1	0	0	0	1	0	0	0	0	-0.05	1	0	1	0	0	0	1	0.1	1	0	0
57	19	0	756	0	0	0	0	-0.1	1	0	0	0	0	0.05	1	0	0	0	0	0.15	1	0	0	0	1	-0.1	1	0	1	0.15	1	0	0	0.15	1	0	0	0	1	-0.1	1	0	0	0	1
8	17	0	807	0	0	-0.1	1	0.15	1	0.05	1	0	0	0	1	0	0	0	0	0	0	-0.05	1	0	0	0	1	0	1	0	0	0.1	1	0	0	0.1	1	0.15	1	0.05	1	0	0	0	0
52	20	1	151	0	0	0	0	0.15	1	-0.1	1	0.15	1	0.05	1	0	0	0	1	0	0	0	0	0.15	1	0	0	0	1	0	0	0.1	1	0	0	-0.1	1	0	0	0	1	0	0	0	1
73	20	0	872	-0.1	1	0	0	0	0	-0.1	1	0	1	0	0	0	0	0	1	0.05	1	0	0	0.1	1	0	0	0	1	-0.1	1	-0.05	1	0	0	0.1	1	-0.05	1	0	0	0	0	0	0
85	19	1	384	0.15	1	0	0	0	0	-0.05	1	0	0	0	0	-0.1	1	0.1	1	0.05	1	0	0	0	0	0	0	0	1	-0.05	1	0	0	0.15	1	0	0	-0.1	1	0	1	0	0	-0.1	1
22	19	0	921	0.05	1	-0.1	1	0	0	0	1	0	0	0	0	0	0	0.15	1	0	0	0.1	1	0	0	0	0	0	1	0	1	-0.05	1	0	0	-0.05	1	0	1	0	0	0	0	0.05	1
54	20	1	253	0.15	1	0	0	0	0	0.05	1	-0.05	1	-0.05	1	-0.1	1	0	0	0	0	0	0	0	0	-0.05	1	0	1	0	0	0.1	1	0.1	1	0	0	0	0	0.15	1	0	0	-0.1	1
20	20	1	119	0.05	1	-0.1	1	0.1	1	0	0	-0.05	1	0	0	0	0	-0.05	1	0	0	0.15	1	-0.1	1	0	1	0	1	0.05	1	0	0	0	0	0	0	0	0	0.1	1	0	0	0	0
100	20	1	399	-0.05	1	0.1	1	0.1	1	-0.05	1	0.1	1	0	0	0	0	0.15	1	0	0	0	0	0	0	0.05	1	0	1	0	0	0	0	0.05	1	0.05	1	0.05	1	0	0	0	0	0	0
1	18	0	700	0	1	0.15	1	0	1	0	0	-0.1	1	0	0	0	0	0.05	1	0	0	0	0	0.1	1	0	0	0	1	0	0	-0.05	1	-0.1	1	0.05	1	0.05	1	0	0	0	0	0	0
53	18	0	852	-0.05	1	0.15	1	0.1	1	0.1	1	0	0	0.05	1	0	0	0	1	0	0	-0.05	1	0	0	0	0	0	1	0	0	-0.1	1	0	0	0.15	1	0	0	0	0	0	0	-0.1	1
71	18	1	270	0.15	1	0	0	0	0	0	0	0	0	0	0	0	0	0.15	1	0	1	0.1	1	0.15	1	0.1	1	0	1	0	0	0	0	0.1	1	-0.05	1	0	0	0.1	1	0	0	0.1	1
38	17	1	437	0	0	0	0	0	0	-0.1	1	0	0	0.15	1	0	0	-0.05	1	0.1	1	0.1	1	0	0	0.15	1	0	1	0	0	0	1	0.1	1	0	0	-0.1	1	0	0	0	0	0.05	1
19	19	0	518	0	0	-0.1	1	0	0	0	0	-0.05	1	0	0	0	0	0.1	1	0	0	0	0	0.15	1	-0.05	1	0	1	-0.05	1	0	0	-0.1	1	-0.1	1	0	0	0.1	1	0	0	0	1
21	18	0	620	0	1	0	0	-0.05	1	0	0	0	0	0	0	0	0	-0.05	1	0	0	0	1	0.15	1	0	0	0	1	0	0	-0.05	1	-0.1	1	0.15	1	0	0	0.1	1	0.05	1	0	0
69	20	1	268	0.05	1	0	0	0	0	0	0	0.05	1	0	0	0.1	1	-0.05	1	0	0	0	0	0.05	1	0.1	1	0	1	0	0	0	0	0.15	1	0	1	0.1	1	0	0	0	0	-0.05	1
50	18	0	549	0.05	1	0	0	0	0	0	0	0	0	0.05	1	0	0	0.1	1	0.15	1	0	0	-0.05	1	-0.05	1	0	1	-0.05	1	0.15	1	-0.05	1	0.15	1	0	0	0	0	0	0	0	0
15	20	1	214	0.1	1	0	1	0	1	-0.05	1	-0.05	1	0	0	0	0	0	0	0	0	0	0	0.15	1	-0.05	1	0	1	0	0	0	1	0	0	0.15	1	0	0	0	0	0	1	0	0
11	17	1	310	0	0	0.15	1	0	0	0.1	1	0	0	0	0	0.05	1	-0.05	1	0.1	1	0	0	0.05	1	-0.05	1	0	1	-0.05	1	0	0	-0.05	1	0	0	0	1	0	0	0	0	0	0
98	20	1	397	-0.05	1	0.1	1	-0.1	1	0.1	1	-0.1	1	0.05	1	0	0	-0.1	1	0.1	1	-0.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2	19	1	101	0	0	0	0	-0.05	1	0	0	0	0	0	0	-0.05	1	-0.05	1	0.1	1	0	0	0	1	0	1	0	1	0.05	1	0.1	1	-0.05	1	0	0	0	0	0	0	0	0	-0.05	1
37	20	0	836	0	0	0.05	1	0	0	0.05	1	0	1	0	0	0	0	0.15	1	0	1	0	0	0	0	0	0	0	1	0.15	1	0	0	0	0	0.1	1	-0.05	1	0.15	1	-0.05	1	0	0
21	18	1	20	0.15	1	0.05	1	0	0	0.15	1	0	0	0.05	1	-0.05	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.05	1	0.1	1	-0.1	1	-0.1	1	-0.05	1
40	20	1	339	-0.05	1	0	0	-0.1	1	0	0	-0.1	1	0	0	0.05	1	0.15	1	0	0	0	0	0	1	0.15	1	0	1	0	0	0.05	1	0.15	1	0	0	0	0	0	1	0	0	0	0
87	20	1	486	-0.05	1	0	0	0	0	0.1	1	0.1	1	0	0	-0.1	1	0.1	1	0	0	0	0	0	0	0	0	0	1	0	0	0.15	1	-0.1	1	0.05	1	0	0	0	0	0.05	1	-0.05	1
31	20	1	330	0	0	0	0	0.15	1	0	0	0.05	1	0	0	0	0	0	1	0	0	0.15	1	-0.1	1	0	0	0	1	0	0	0	1	0.05	1	0.15	1	0	0	0.05	1	0	0	-0.1	1
48	20	0	847	0	0	0	0	0.05	1	0	0	-0.05	1	0.05	1	-0.05	1	0	0	0.15	1	0	0	0.15	1	0	0	0	1	-0.1	1	0	0	-0.1	1	-0.05	1	-0.05	1	0	0	0	0	0	0
83	18	1	82	0	0	0	0	0	0	-0.1	1	0	0	0.1	1	0	0	-0.05	1	-0.05	1	0.15	1	-0.05	1	0	0	0	1	0	0	0	0	0	0	-0.05	1	0	0	-0.1	1	0.05	1	0	1
26	18	1	25	0.15	1	0.1	1	0	0	0	0	0	0	0.1	1	0	0	0	0	0	0	0	0	0.15	1	-0.05	1	0	1	0	0	0	1	0.1	1	0.05	1	-0.1	1	0	0	0	0	-0.05	1
60	20	1	359	0	0	0	0	0	0	0	0	-0.1	1	0	0	0	1	0.15	1	-0.1	1	0	0	0	0	0	0	0	1	0.05	1	-0.05	1	-0.05	1	0.1	1	0	1	0.05	1	0	0	0	0
27	20	1	26	0	0	0.1	1	-0.1	1	0.1	1	0	1	0	0	0	0	-0.1	1	0	0	-0.1	1	0	0	0	0	0	1	0	0	0.15	1	0	0	-0.1	1	0.05	1	0.1	1	0	0	0	0
14	18	1	213	0	0	0	0	0	0	0.1	1	0	1	-0.05	1	0	0	-0.1	1	-0.05	1	0	0	0	1	0	0	0	1	-0.05	1	0	0	-0.05	1	0	1	0	0	0	0	0	0	0.05	1
38	20	1	137	0.05	1	0.15	1	0	0	0	0	0.1	1	-0.05	1	0	0	0	0	-0.05	1	0	1	-0.1	1	-0.05	1	0	1	0	0	0	0	0.15	1	0	0	0	0	0	0	0	0	0.05	1
46	19	0	745	0.15	1	0	0	0	0	0	0	0.15	1	0.05	1	-0.05	1	0	0	-0.1	1	0	0	0.1	1	0.05	1	0	1	0.1	1	0	0	0	0	0	0	-0.1	1	0	0	0.1	1	0	0
58	20	0	957	0	0	0	0	0.15	1	0	0	-0.1	1	0.15	1	0	0	0.1	1	0	1	0	1	0.15	1	0	0	0	1	0	0	0	0	0.1	1	0	0	0.15	1	0.05	1	0	0	0	0
66	15	1	265	-0.1	1	0	0	0.15	1	0	0	0	0	0.15	1	0.1	1	0.15	1	0	0	0.05	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0.05	1	0	1	0	0	0	0
97	19	0	996	0	0	-0.05	1	0	0	0	0	0	0	0	1	0.15	1	0	0	0	1	0.05	1	0	0	0	1	0	1	0	1	0	0	-0.05	1	0.15	1	0	0	0	0	0	0	0.15	1
80	20	1	379	0	0	0	0	-0.1	1	0	0	0.05	1	0	0	-0.05	1	0	0	0.05	1	0	0	0	0	0	1	0	1	0	0	-0.1	1	0.05	1	0	0	0	0	0.1	1	0	1	0	1
6	17	1	405	0.1	1	0	0	-0.05	1	0	0	0	0	0	0	0	0	-0.05	1	0.15	1	0.1	1	0	0	-0.05	1	0	1	0.05	1	0	1	0	0	0	0	-0.1	1	0	0	0	0	0.15	1
93	19	1	292	-0.1	1	0	0	0.1	1	0.15	1	0	0	0	0	0	0	0.1	1	0	0	0	0	0.15	1	0	0	0	1	0.1	1	0	0	-0.05	1	-0.05	1	-0.05	1	0	0	0	0	-0.1	1
69	19	1	168	-0.05	1	-0.05	1	0.15	1	0	0	0	0	0	0	-0.05	1	0	0	0	0	-0.1	1	-0.1	1	0	0	0	1	-0.05	1	0.05	1	0	0	0	0	0.1	1	0	1	0	0	0	0
37	20	1	136	0	0	-0.05	1	-0.05	1	0.05	1	0.05	1	0	0	0.15	1	0	0	0	0	0	0	0	0	0.05	1	0	1	0	0	0.05	1	-0.1	1	0	0	0.05	1	0	0	0	0	0	1
97	17	1	196	0.15	1	0	0	0.1	1	-0.05	1	0	0	0	0	0	0	0.05	1	0	0	0	0	0.1	1	-0.05	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	-0.1	1	0.1	1
19	19	1	218	0.05	1	0.1	1	0	0	-0.1	1	0	0	0	0	-0.1	1	0	0	0	0	0.15	1	0	0	0	0	0	1	0.1	1	0	1	0.1	1	0	0	0	0	0	1	0	0	0.05	1
11	20	0	910	0	0	0	0	0	1	0	0	0	1	0	0	0	0	-0.05	1	0.15	1	0	0	0.1	1	-0.1	1	0	1	0	0	0	0	0	0	0	0	0.15	1	0.05	1	-0.1	1	0.05	1
74	20	1	373	0	0	0	0	0	0	0.15	1	0.05	1	0	0	0	0	0.05	1	0	0	0	1	0.1	1	0.15	1	0	1	0.1	1	0	0	-0.1	1	0.1	1	0	0	0	0	0	0	0.15	1
39	20	1	238	0.05	1	0.15	1	-0.05	1	0.05	1	-0.1	1	0	0	0	0	0.1	1	0.15	1	-0.05	1	0	0	0	0	0	1	0	0	0	0	0.05	1	0	0	0.15	1	0	0	0	0	0	0
28	20	1	27	0.1	1	0	0	-0.05	1	0	0	0.1	1	0	0	0.1	1	0	0	0.15	1	0.1	1	0	0	0	0	0	1	0.15	1	0	0	0	1	0	0	0	1	0	0	0	0	0.1	1
70	19	0	969	0.05	1	-0.05	1	0.1	1	0	0	0	0	0	1	0	0	0	0	-0.05	1	0	0	0.1	1	0	0	0	1	0.05	1	0	0	0.1	1	0	0	-0.05	1	0	0	0.15	1	0	0
31	17	1	230	0.1	1	0.15	1	0	0	-0.1	1	0	0	0.1	1	-0.05	1	-0.1	1	0	0	0.15	1	0	0	-0.1	1	0	1	0	0	0	0	0.15	1	0	0	0	0	-0.1	1	0	0	0	0
84	19	0	883	0.15	1	0	0	0	1	-0.05	1	0.05	1	-0.05	1	-0.05	1	0	0	-0.1	1	0	0	0	0	0.15	1	0	1	0.15	1	0	0	0	0	0	0	0	0	0	0	0	0	0.05	1
15	17	1	414	-0.05	1	0	0	0	0	0.05	1	0	0	0.05	1	-0.1	1	-0.05	1	0	1	0	0	0.1	1	-0.05	1	0	1	0	0	0	0	0	0	0	0	0	0	0.05	1	0	1	0	0
86	19	0	785	-0.05	1	0	0	0	0	-0.05	1	0	0	0	0	0.05	1	0.05	1	0	0	0	0	0.05	1	-0.05	1	0	1	0.05	1	-0.1	1	0	0	0.05	1	0	0	0	0	0.05	1	0	0
50	20	1	449	0	0	0	1	-0.05	1	0.05	1	-0.05	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.1	1	0	0	-0.1	1	0.05	1	0	0	0.1	1	0	0	-0.1	1
68	18	0	667	0	0	0	0	-0.05	1	-0.1	1	0.1	1	0	0	0	0	0	0	0	0	0	0	-0.05	1	0.1	1	0	1	0.15	1	0.05	1	0	1	0.1	1	0	0	0	0	0.1	1	0	0
66	16	0	765	-0.1	1	0	1	0	0	0.15	1	0	0	0.15	1	0	0	0	0	-0.05	1	0.05	1	0.05	1	0	0	0	1	0	0	0	0	0	0	0	0	0.05	1	0	0	0.1	1	-0.1	1
43	16	0	942	0.1	1	0.15	1	0	1	0.05	1	0	0	0	1	0.15	1	0	0	0.1	1	0	0	0.05	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.1	1	0	0	0.1	1
100	20	0	899	0	1	-0.05	1	-0.1	1	0	0	0.05	1	0	0	0	0	0.1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0.1	1	-0.1	1	0	0	0	0	0	1
87	20	0	786	0	1	-0.1	1	0	1	0	0	0.05	1	0	0	0	0	0	0	0	0	-0.05	1	0	1	0	0	0	1	0.1	1	0	0	-0.05	1	0	0	0	0	0.15	1	0	0	0.15	1
50	19	1	149	0	0	0.1	1	0	0	0	0	0.15	1	0	0	-0.1	1	0.15	1	-0.1	1	0	0	0.1	1	0	0	0	1	-0.1	1	0	0	0.1	1	0	0	0	0	0	0	-0.05	1	-0.05	1
94	19	1	93	0	0	0.05	1	0	0	-0.1	1	0	0	-0.1	1	-0.05	1	0.15	1	0	0	0	0	0.1	1	0	0	0	1	-0.05	1	0.05	1	0.1	1	-0.1	1	0	0	0	0	0	0	0	0
34	14	0	733	0	0	0	0	-0.05	1	0.15	1	0	0	0.1	1	0	0	0	0	0.1	1	-0.05	1	0	1	0	0	0	1	0	0	0	0	-0.05	1	0	0	0.15	1	0.15	1	0	0	0.1	1
8	18	1	307	0	1	0	0	0.15	1	0	0	0	0	0.1	1	0.05	1	0	0	0	0	0	0	0.1	1	-0.1	1	0	1	0	0	0	1	0.1	1	-0.1	1	0	0	0	0	-0.1	1	0	0
83	19	1	382	0	0	0.15	1	-0.05	1	-0.1	1	0	0	0	0	0.15	1	0	1	0	0	0	0	-0.05	1	0.1	1	0	1	-0.1	1	0	0	-0.05	1	0	0	0	0	0	0	0	0	-0.1	1
36	19	1	335	0	0	0.15	1	0	0	0	0	0	0	0.15	1	-0.05	1	-0.05	1	0	0	-0.05	1	0	0	0.1	1	0	1	0	1	0	0	-0.05	1	0.15	1	0.1	1	0	0	0	0	0	0
26	17	0	825	-0.05	1	-0.05	1	0	0	0.15	1	0	0	0	0	0.05	1	0	0	0.1	1	0	0	-0.1	1	-0.1	1	0	1	0	0	0	0	0	0	0.15	1	0	1	0	0	0.15	1	0	0
7	17	0	706	0	0	0.1	1	0	0	0.1	1	0	0	0	0	0.05	1	0	0	0	0	-0.05	1	-0.05	1	-0.05	1	0	1	0	0	-0.05	1	0.15	1	0	0	0	0	0	0	0.15	1	-0.1	1
42	19	0	541	0	1	0	0	0	0	0.15	1	0	0	0	1	-0.05	1	0	0	0.05	1	0	0	0	0	-0.05	1	0	1	0	1	0	1	0	0	0	0	0	0	-0.05	1	0.1	1	0	0
56	20	0	555	-0.1	1	0	0	0.05	1	0	0	-0.1	1	0.05	1	0	0	0	0	0.15	1	0	0	0.1	1	0	0	0	1	0	0	-0.05	1	0.05	1	0	0	0.05	1	0	0	-0.05	1	0	0
39	19	0	838	0	0	0	0	0	1	0	0	0	0	-0.1	1	0	0	0	1	0.05	1	0	0	-0.05	1	0.05	1	0	1	0.05	1	0	0	0	1	0	0	0	0	0.05	1	-0.1	1	0	0
55	18	0	554	0	1	-0.05	1	0.1	1	0	1	0	0	0.05	1	-0.1	1	0	0	0	0	0	0	0	0	0.1	1	0	1	-0.05	1	0	0	0	0	0.05	1	0.15	1	0	0	0	0	0	0
6	16	0	805	0.05	1	0.1	1	0.1	1	0	0	0	0	0	0	0	0	0.1	1	0	0	0	1	-0.1	1	0	0	0	1	0	0	0.15	1	0	0	0	0	-0.1	1	-0.1	1	0	1	0	0
92	14	1	191	0	0	0	0	0.15	1	0.1	1	0	0	0	0	-0.1	1	0.15	1	0.1	1	0	0	-0.1	1	0.15	1	0	1	-0.05	1	0	0	0	0	0	0	0	0	0.15	1	0	0	0	1
75	15	0	774	0	1	0.05	1	-0.05	1	-0.1	1	0	0	0.15	1	-0.1	1	0	0	0.05	1	0	0	0	0	0	0	0	1	0	0	0	0	0.1	1	0	0	0.1	1	-0.05	1	0	0	0	0
16	17	0	815	0	1	0	0	0	0	-0.05	1	0	0	0	0	-0.05	1	-0.1	1	-0.05	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	-0.1	1	0.15	1	0	0
34	19	0	833	0	1	-0.05	1	0	0	0	0	0.1	1	0	0	0	0	0	1	0.05	1	0.15	1	0	0	0	0	0	1	0.15	1	0	0	-0.1	1	0	1	0	0	0.15	1	0	0	0	0
96	18	1	295	0	0	-0.05	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	-0.05	1	0	0	0	0	0	1	0	0	-0.1	1	0.05	1	0.1	1	-0.1	1	0.1	1	0.15	1	0	0
15	9	0	714	0.05	1	0	1	-0.05	1	0.15	1	0	0	0	0	0	0	0.05	1	0	0	0	1	0	0	0	0	0	1	0	0	0.1	1	0	0	0	0	-0.1	1	0.1	1	0	1	0	0
12	17	1	11	0	0	-0.1	1	-0.05	1	0	1	0	0	0	0	0	0	0.15	1	0	0	0	0	0.1	1	-0.1	1	0	1	0	0	0.05	1	0	0	0	0	0	1	0	0	-0.1	1	0.1	1
36	17	1	135	0.15	1	0.05	1	0.05	1	0	1	0	0	0	0	0	0	0.05	1	0	0	0	1	0.1	1	0	1	0	1	0	0	0.05	1	0	0	0	0	-0.05	1	0	0	0	0	0	0
29	19	1	228	-0.05	1	0.1	1	0	0	-0.1	1	0.1	1	0	0	0	0	0.05	1	0	0	0	0	0	0	0	0	0	1	0.05	1	-0.1	1	0	0	0	0	0.15	1	0	0	-0.1	1	0.15	1
53	20	1	252	0.05	1	0	0	0	0	0	0	0.15	1	-0.05	1	0	0	0	0	0	0	0	0	0.15	1	0.15	1	0	1	-0.05	1	0	1	0	0	0.15	1	0.15	1	0	0	0	0	0.05	1
24	17	0	523	0	0	0.05	1	0	0	0.05	1	0	0	0.1	1	0.1	1	0	0	0	0	0	0	0	0	0.15	1	0	1	0	1	-0.05	1	0	1	0	0	-0.1	1	0	0	0.05	1	0	0
40	19	1	39	0	1	0	0	0	0	0.15	1	0	0	0	0	0	0	0.1	1	0.15	1	0	0	0.1	1	0.1	1	0	1	-0.05	1	0.15	1	0	0	0	1	0	0	0	0	0.1	1	0	0
38	20	0	537	-0.05	1	-0.1	1	0	1	0.1	1	0.05	1	0	0	0.05	1	0	0	-0.1	1	0	0	0	0	0	0	0	1	-0.1	1	-0.1	1	0	0	0	0	0	0	0	0	0	0	0.05	1
40	20	0	839	0	0	0	1	0	0	0	0	0.15	1	0	0	0	1	0	1	-0.05	1	0	0	0	0	0.05	1	0	1	0	0	0	0	0.15	1	0	1	0	1	0	0	0	1	0	0
35	19	0	834	0.1	1	0	0	0	0	-0.1	1	0	0	0	1	0	0	0	0	0	0	0	0	0.05	1	0.15	1	0	1	0	1	0	0	-0.05	1	0	0	0	0	0.05	1	0.15	1	0.15	1
83	20	0	882	-0.1	1	0	0	0	0	0	0	-0.05	1	0	0	0	0	0.1	1	-0.1	1	0.1	1	0	0	0	1	0	1	0	0	0.1	1	0	0	0.05	1	-0.1	1	0	0	0	0	0.1	1
9	20	0	508	0.15	1	0	0	0	0	-0.05	1	0	1	0.05	1	0	1	-0.05	1	0.1	1	0	0	0	0	0.15	1	0	1	0.05	1	0	0	0	0	0	0	0	0	0	0	-0.05	1	0	0
27	20	0	526	0.1	1	0.05	1	0.05	1	0	0	0.1	1	0	0	0	0	0	0	-0.05	1	0	0	-0.1	1	0	0	0	1	0	0	0	0	0	0	0	0	-0.1	1	0.05	1	-0.05	1	0.15	1
90	20	1	489	0	0	0.05	1	0.1	1	0	0	0.1	1	-0.05	1	0	1	-0.05	1	0	0	0	0	0.15	1	0	0	0	1	0.05	1	0	0	0	0	0	0	0	0	-0.1	1	0	0	0.15	1
60	18	0	559	0	1	-0.05	1	0	0	0	0	0	0	-0.05	1	0	0	-0.05	1	0	0	0.05	1	0	0	0	0	0	1	0.1	1	-0.1	1	0.05	1	-0.1	1	0.1	1	0	0	0	0	0	0
